HTTP/1.1 200 OK
Server: Experimental Ithakicopter Java Server Version 0.4
Content-Type: text/html



Ithakicopter remote control.<br>
Ready to enter a request-response control session.<br>
Request packet format :<br>
AUTO FLIGHTLEVEL=FFF LMOTOR=LLL RMOTOR=RRR PILOT <CR><LF><br>
Response packet format :<br>
ITHAKICOPTER LMOTOR=LLL RMOTOR=RRR ALTITUDE=AAA TEMPERATURE=TT.TT PRESSURE=PPPP.PP TELEMETRY <CR><LF><br>
<br>
ITHAKICOPTER LMOTOR=195 RMOTOR=195 ALTITUDE=241 TEMPERATURE=+25.67 PRESSURE=1004.66 TELEMETRY 
ITHAKICOPTER LMOTOR=194 RMOTOR=194 ALTITUDE=241 TEMPERATURE=+25.67 PRESSURE=1004.66 TELEMETRY 
ITHAKICOPTER LMOTOR=195 RMOTOR=195 ALTITUDE=241 TEMPERATURE=+25.67 PRESSURE=1004.66 TELEMETRY 
ITHAKICOPTER LMOTOR=194 RMOTOR=194 ALTITUDE=240 TEMPERATURE=+25.67 PRESSURE=1004.66 TELEMETRY 
ITHAKICOPTER LMOTOR=195 RMOTOR=195 ALTITUDE=240 TEMPERATURE=+25.67 PRESSURE=1004.75 TELEMETRY 
ITHAKICOPTER LMOTOR=194 RMOTOR=194 ALTITUDE=240 TEMPERATURE=+25.67 PRESSURE=1004.75 TELEMETRY 
ITHAKICOPTER LMOTOR=193 RMOTOR=193 ALTITUDE=241 TEMPERATURE=+25.67 PRESSURE=1004.75 TELEMETRY 
ITHAKICOPTER LMOTOR=192 RMOTOR=192 ALTITUDE=241 TEMPERATURE=+25.67 PRESSURE=1004.71 TELEMETRY 
ITHAKICOPTER LMOTOR=190 RMOTOR=190 ALTITUDE=238 TEMPERATURE=+25.67 PRESSURE=1004.71 TELEMETRY 
ITHAKICOPTER LMOTOR=196 RMOTOR=196 ALTITUDE=238 TEMPERATURE=+25.67 PRESSURE=1004.71 TELEMETRY 
ITHAKICOPTER LMOTOR=195 RMOTOR=195 ALTITUDE=234 TEMPERATURE=+25.67 PRESSURE=1004.71 TELEMETRY 
ITHAKICOPTER LMOTOR=196 RMOTOR=196 ALTITUDE=237 TEMPERATURE=+25.67 PRESSURE=1004.69 TELEMETRY 
ITHAKICOPTER LMOTOR=195 RMOTOR=195 ALTITUDE=237 TEMPERATURE=+25.67 PRESSURE=1004.69 TELEMETRY 
